0.9755627699	sql injection
0.9732427566	cross site scripting
0.9678798334	social engineering
0.9673189054	ip address
0.9605040508	buffer overflow
0.9550856525	web browser
0.9515639992	web server
0.9369261176	operating systems
0.9274650065	supply chain
0.9268246746	sequence number
0.9226330468	error message
0.9201293755	access control
0.9184093816	web services
0.9102249383	cross domain
0.9066675706	closed ports
0.8991807075	brute force
0.8903117625	http request
0.8850953484	credential prompt
0.8840544754	input validation
0.8836165543	web application
0.8616497135	legitimate users
0.8559234231	icmp type
0.8512591152	web service
0.8286691938	client side
0.8074278881	icmp error message
0.7977268607	sensitive information
0.7971115572	closed port
0.7824091762	vulnerable web
0.7819460810	remote host
0.7561297106	malicious script
0.7500968747	execute arbitrary code
0.7458238526	xml
0.7421899949	sql
0.7406754057	rfc 793
0.7368789544	flash
0.7336553144	icmp
0.7276889788	url
0.7185382537	rst
0.7181554755	tcp
0.7120497524	internet
0.7104913252	java
0.7084478947	authority
0.7074153013	certificate
0.7067620065	windows
0.7036503633	rfc
0.6967331205	design
0.6922712900	card
0.6921797397	udp
0.6880388901	binary
0.6878727662	error messages
0.6873125197	library
0.6871032289	sequence
0.6863233779	cache
0.6862173731	os
0.6860181252	development
0.6846427786	domain name
0.6836522665	mobile
0.6836489883	schema
0.6819059980	single
0.6816410549	document
0.6811535842	directory
0.6805339146	infrastructure
0.6795311154	http
0.6794058265	signed
0.6775133747	http get
0.6734600489	lock
0.6732811426	password
0.6732477130	credential
0.6711898886	names
0.6707364446	takes advantage of
0.6702044979	addresses
0.6701297995	os fingerprinting
0.6700012002	malicious logic
0.6694100627	store
0.6669080254	email
0.6667420161	object
0.6637330583	layer
0.6602824399	signal
0.6582636310	registry
0.6566345336	arbitrary code
0.6554622854	browsers
0.6550067611	generated
0.6537916907	chip
0.6499111178	negative
0.6497095752	hash
0.6496427080	ip
0.6489962477	detection
0.6480722747	css
0.6461085470	api
0.6455367936	soap
0.6433994360	cards
0.6421014127	management
0.6413387326	functions
0.6384530468	interface
0.6369225483	technology
0.6365724162	rpc
0.6363992097	encoding
0.6358828591	base
0.6356077784	cellular
0.6345831601	condition
0.6342214097	privilege
0.6335658920	output
0.6330869788	script
0.6325506022	executable
0.6265308537	operating system
0.6263809905	character
0.6253719483	active
0.6247564083	rfid
0.6244906727	html
0.6240944165	dll
0.6230541491	traffic
0.6228542099	product
0.6181019383	scripting
0.6167951474	function
0.6146183507	ports
0.6144867675	results
0.6140348855	link
0.6127158975	source
0.6106600946	ssl
0.6105296861	state
0.6091635205	return
0.6072627268	action
0.6054834187	command
0.6050304445	dns
0.6039990673	block
0.6016496951	steal
0.6008732910	space
0.6001795122	ack
0.6000786684	scan
0.5990225708	port
0.5972089423	database
0.5966246972	bypass
0.5964543748	unauthorized access
0.5961585859	memory
0.5958989732	xss
0.5954194634	data
0.5921134536	buffer
0.5917759880	generate
0.5915571746	change
0.5901516001	prompt
0.5882361063	null
0.5878003755	third party
0.5872961485	machine
0.5861617827	authentication
